1001|20/05/2011|104|express|n|B77836|01/06/2011|20.4|10.0|22/07/2011
1002|21/05/2011|101|PO on box deliver to back door only|n|9270|26/05/2011|50.6|15.3|03/06/2011
1003|22/05/2011|104|express|n|B77890|23/05/2011|35.6|10.8|14/06/2011
1004|22/05/2011|106|ring bell twice|y|8006|30/05/2011|95.8|19.2|
1005|24/05/2011|116|call before delivery|n|2865|09/06/2011|80.8|16.2|21/06/2011
1006|30/05/2011|112|after 10 am|y|Q13557||70.8|14.2|
1007|31/05/2011|117||n|278693|05/06/2011|125.9|25.2|
1008|07/06/2011|110|closed Monday|y|LZ230|06/07/2011|45.6|13.8|21/07/2011
1009|14/06/2011|111|next door to grocery|n|4745|21/06/2011|20.4|10.0|21/08/2011
1010|17/06/2011|115|deliver 776 King St. if no answer|n|429Q|29/06/2011|40.6|12.3|22/08/2011
1011|18/06/2011|104|express|n|B77897|03/07/2011|10.4|5.0|29/08/2011
1012|18/06/2011|117||n|278701|29/06/2011|70.8|14.2|
1013|22/06/2011|104|express|n|B77930|10/07/2011|60.8|12.2|31/07/2011
1014|25/06/2011|106|ring bell. kick door loudly|n|8052|03/07/2011|40.6|12.3|10/07/2011
1015|27/06/2011|110|closed Mondays|n|MA003|16/07/2011|20.6|6.3|31/08/2011
1016|29/06/2011|119|delivery entrance off Camp St.|n|PC6782|12/07/2011|35.0|11.8|
1017|09/07/2011|120|North side of clubhouse|n|DM354331|13/07/2011|60.0|18.0|
1018|10/07/2011|121|SW corner of Biltmore Mall|n|S22942|13/07/2011|70.5|20.0|06/08/2011
1019|11/07/2011|122|closed til noon Mondays|n|Z55709|16/07/2011|90.0|23.0|06/08/2011
1020|11/07/2011|123|express|n|W2286|16/07/2011|14.0|8.5|20/09/2011
1021|23/07/2011|124|ask for Elaine|n|C3288|25/07/2011|40.0|12.0|22/08/2011
1022|24/07/2011|126|express|n|W9925|30/07/2011|15.0|13.0|02/09/2011
1023|24/07/2011|127|no deliveries after 3 p.m.|n|KF2961|30/07/2011|60.0|18.0|22/08/2011
